Year,SMW,Date,Crop_Week,Location,Longitude,Latitude,JS 95-60,JS-335,Shivalik,JS93-05,Punjab1,PK -472,Monetta,NRC-7,Max_Temp,Min_Temp,Max_Humidity,Min_Humidity,No_of_Rainy_Days,Rainfall,Wind_Velocity,Disease,,
2021,27,02-07-2021 to 08-07-2021,1,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,35.7,26.7,74.7,50.3,1,15,5.3,Yellow Mosaic Disease,,
2021,28,09-07-2021 to 15-07-2021,2,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,33.3,25.1,85.1,58.3,2,33.2,3.3,Yellow Mosaic Disease,,
2021,29,16-07-2021 to 22-07-2021,3,Jabalpur,79.97,23.19,0.31,0.31,0,0.43,0,0.86,0.12,0,33.4,25.4,84.1,70,3,35.4,3.9,Yellow Mosaic Disease,,
2021,30,23-07-2021 to 29-07-2021,4,Jabalpur,79.97,23.19,5.68,6.36,4.38,7.28,2.41,10.12,8.52,0.56,27.7,23.8,94.6,85.1,5,130.4,5.7,Yellow Mosaic Disease,,
2021,31,30-07-2021 to 05-08-2021,5,Jabalpur,79.97,23.19,19.07,16.79,13.39,18.33,7.96,17.84,23.83,9.26,26.8,23.4,91.1,84.1,6,43.7,8,Yellow Mosaic Disease,,
2021,32,06-08-2021 to 12-08-2021,6,Jabalpur,79.97,23.19,24.44,22.59,17.04,27.47,11.6,23.83,33.64,13.89,28.5,24.2,90,79,2,11.1,6.2,Yellow Mosaic Disease,,
2021,33,13-08-2021 to 19-08-2021,7,Jabalpur,79.97,23.19,28.27,25,20.92,30.62,13.46,32.22,40.99,16.17,32.6,24.7,89,71,3,42.3,3.3,Yellow Mosaic Disease,,
2021,34,20-08-2021 to 26-08-2021,8,Jabalpur,79.97,23.19,29.01,26.97,22.22,31.66,13.76,35.99,43.15,17.22,30.7,24.7,87,67,0,2.2,4.3,Yellow Mosaic Disease,,
2021,35,27-08-2021 to 02-09-2021,9,Jabalpur,79.97,23.19,29.2,27.71,22.71,31.97,13.89,36.54,44.07,17.41,31.6,24.5,86,68,0,2.5,3.4,Yellow Mosaic Disease,,
2021,36,03-09-2021 to 09-09-2021,10,Jabalpur,79.97,23.19,29.07,28.08,22.9,31.79,13.83,36.79,44.13,17.59,31.4,24.1,91,78,4,35.7,3.5,Yellow Mosaic Disease,,
2021,37,10-09-2021 to 16-09-2021,11,Jabalpur,79.97,23.19,-,28.27,22.96,-,13.83,42.71,44.01,17.41,30,23.8,93,81,4,100.8,3,Yellow Mosaic Disease,,
2021,27,02-07-2021 to 08-07-2021,1,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,35.7,26.7,74.7,50.3,1,15,5.3,Rhizoctonia Aerial Blight,,
2021,28,09-07-2021 to 15-07-2021,2,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,33.3,25.1,85.1,58.3,2,33.2,3.3,Rhizoctonia Aerial Blight,,
2021,29,16-07-2021 to 22-07-2021,3,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,33.4,25.4,84.1,70,3,35.4,3.9,Rhizoctonia Aerial Blight,,
2021,30,23-07-2021 to 29-07-2021,4,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,27.7,23.8,94.6,85.1,5,130.4,5.7,Rhizoctonia Aerial Blight,,
2021,31,30-07-2021 to 05-08-2021,5,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,26.8,23.4,91.1,84.1,6,43.7,8,Rhizoctonia Aerial Blight,,
2021,32,06-08-2021 to 12-08-2021,6,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,28.5,24.2,90,79,2,11.1,6.2,Rhizoctonia Aerial Blight,,
2021,33,13-08-2021 to 19-08-2021,7,Jabalpur,79.97,23.19,0.37,0,0,0.31,0,0,0,0,32.6,24.7,89,71,3,42.3,3.3,Rhizoctonia Aerial Blight,,
2021,34,20-08-2021 to 26-08-2021,8,Jabalpur,79.97,23.19,0.99,0,0.37,0.99,0.99,0.56,0.93,0.49,30.7,24.7,87,67,0,2.2,4.3,Rhizoctonia Aerial Blight,,
2021,35,27-08-2021 to 02-09-2021,9,Jabalpur,79.97,23.19,1.42,1.05,0.93,1.42,1.85,1.17,1.3,0.99,31.6,24.5,86,68,0,2.5,3.4,Rhizoctonia Aerial Blight,,
2021,36,03-09-2021 to 09-09-2021,10,Jabalpur,79.97,23.19,3.09,2.53,2.9,2.9,3.52,2.59,2.53,2.41,31.4,24.1,91,78,4,35.7,3.5,Rhizoctonia Aerial Blight,,
2021,37,10-09-2021 to 16-09-2021,11,Jabalpur,79.97,23.19,5.43,6.85,10.86,5.86,10.74,9.2,7.72,7.59,30,23.8,93,81,4,100.8,3,Rhizoctonia Aerial Blight,,
2021,38,17-09-2021 to 23-09-2021,12,Jabalpur,79.97,23.19,-,13.7,17.41,-,16.11,15.86,13.89,14.01,30.9,23.6,89,68,2,16.3,3.1,Rhizoctonia Aerial Blight,,
2021,27,02-07-2021 to 08-07-2021,1,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,35.7,26.7,74.7,50.3,1,15,5.3,Anthracnose,,change Anthracnose/pb to Anthracnose
2021,28,09-07-2021 to 15-07-2021,2,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,33.3,25.1,85.1,58.3,2,33.2,3.3,Anthracnose,,
2021,29,16-07-2021 to 22-07-2021,3,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,33.4,25.4,84.1,70,3,35.4,3.9,Anthracnose,,
2021,30,23-07-2021 to 29-07-2021,4,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,27.7,23.8,94.6,85.1,5,130.4,5.7,Anthracnose,,
2021,31,30-07-2021 to 05-08-2021,5,Jabalpur,79.97,23.19,0,0,0,0.67,0,0,0,0,26.8,23.4,91.1,84.1,6,43.7,8,Anthracnose,,
2021,32,06-08-2021 to 12-08-2021,6,Jabalpur,79.97,23.19,4.44,0,0.89,4,0,0,0.67,0,28.5,24.2,90,79,2,11.1,6.2,Anthracnose,,
2021,33,13-08-2021 to 19-08-2021,7,Jabalpur,79.97,23.19,13.56,0,4.22,10.67,2.44,0,2,0,32.6,24.7,89,71,3,42.3,3.3,Anthracnose,,
2021,34,20-08-2021 to 26-08-2021,8,Jabalpur,79.97,23.19,33.11,0,8,21.11,4.67,0,6,2.22,30.7,24.7,87,67,0,2.2,4.3,Anthracnose,,
2021,35,27-08-2021 to 02-09-2021,9,Jabalpur,79.97,23.19,41.78,1.78,13.33,28.22,8.22,3.11,10,4.67,31.6,24.5,86,68,0,2.5,3.4,Anthracnose,,
2021,36,03-09-2021 to 09-09-2021,10,Jabalpur,79.97,23.19,52.89,3.33,19.56,33.78,14.22,5.33,14.44,6.44,31.4,24.1,91,78,4,35.7,3.5,Anthracnose,,
2021,37,10-09-2021 to 16-09-2021,11,Jabalpur,79.97,23.19,57.78,6.22,25.56,39.11,17.56,7.56,18.67,7.33,30,23.8,93,81,4,100.8,3,Anthracnose,,
2021,38,17-09-2021 to 23-09-2021,12,Jabalpur,79.97,23.19,-,7.33,29.56,-,18.89,9.33,22.44,8.89,30.9,23.6,89,68,2,16.3,3.1,Anthracnose,,
2021,39,24-09-2021 to 30-09-2021,13,Jabalpur,79.97,23.19,-,7.78,29.56,-,19.56,9.78,22.44,8.89,31.9,24.1,88,62,1,3.8,3.3,Anthracnose,,
2021,26,25-06-2021 to 01-07-2021,1,Indore,75.88,22.71,0,0,0,0,0,0,0,0,34.6,22.1,80.7,75.4,3,29.2,2.73,Anthracnose,,
2021,27,02-07-2021 to 08-07-2021,2,Indore,75.88,22.71,0,0,0,0,0,0,0,0,36,23.9,66.4,52.7,0,1.6,3.74,Anthracnose,,
2021,28,09-07-2021 to 15-07-2021,3,Indore,75.88,22.71,0,0,0,0,0,0,0,0,32.2,21.5,88.9,80,4,70,0.91,Anthracnose,,
2021,29,16-07-2021 to 22-07-2021,4,Indore,75.88,22.71,0,0,0,0,0,0,0,0,31.1,21.9,84,82.3,2,26.4,1.89,Anthracnose,,
2021,30,23-07-2021 to 29-07-2021,5,Indore,75.88,22.71,0,0,0,0,0,0,0,0,28.8,20.7,89.7,83.9,3,77,3.19,Anthracnose,,
2021,31,30-07-2021 to 05-08-2021,6,Indore,75.88,22.71,0,0,0,0,0,0,0,0,28.9,20.7,86.9,77.4,0,6.8,4.97,Anthracnose,,
2021,32,06-08-2021 to 12-08-2021,7,Indore,75.88,22.71,0,0,0,0,0,0,0,0,32.7,21.7,78.1,68.3,0,0.8,1.4,Anthracnose,,
2021,33,13-08-2021 to 19-08-2021,8,Indore,75.88,22.71,23.12,11.11,11.11,23.12,11.11,11.11,11.11,11.11,33.4,21.2,84.3,73.7,3,83.2,0.9,Anthracnose,,
2021,34,20-08-2021 to 26-08-2021,9,Indore,75.88,22.71,25.12,16.11,16.11,25.12,16.11,16.11,16.11,16.11,33.2,21,91.4,74.9,2,10.6,0.75,Anthracnose,,
2021,35,27-08-2021 to 02-09-2021,10,Indore,75.88,22.71,30.12,22.23,22.23,30.12,22.23,22.23,22.23,22.23,23.5,15.1,63.1,59,3,74.8,0.2,Anthracnose,,
2021,36,03-09-2021 to 09-09-2021,11,Indore,75.88,22.71,35.12,35.12,35.12,35.12,25.23,25.23,25.23,22.23,32,20.7,93.7,82.3,6,213.4,,Anthracnose,,
2021,37,10-09-2021 to 16-09-2021,12,Indore,75.88,22.71,35.12,35.12,35.12,35.12,25.23,25.23,25.23,22.23,31,21,90.9,83,4,63.2,0.73,Anthracnose,,
2021,38,17-09-2021 to 23-09-2021,13,Indore,75.88,22.71,38.12,38.26,38.26,35.12,27.66,25.23,27.66,25.23,31.4,20.7,93.1,77.6,2,12.8,0.94,Anthracnose,,
2021,39,24-09-2021 to 30-09-2021,14,Indore,75.88,22.71,-,45.12,38.26,-,29.66,27.32,29.66,27.32,31.7,20.6,95.4,90,4,77.2,0.5,Anthracnose,,
2021,40,01-10-2021 to 07-10-2021,15,Indore,75.88,22.71,-,45.66,38.26,-,29.66,29.66,29.66,29.66,33.2,20.6,92,82,3,114.4,,Anthracnose,,
2021,26,25-06-2021 to 01-07-2021,1,Indore,75.88,22.71,0,0,0,0,0,0,0,0,34.6,22.1,80.7,75.4,3,29.2,2.73,Charcoal Rot,,
2021,27,02-07-2021 to 08-07-2021,2,Indore,75.88,22.71,0,0,0,0,0,0,0,0,36,23.9,66.4,52.7,0,1.6,3.74,Charcoal Rot,,
2021,28,09-07-2021 to 15-07-2021,3,Indore,75.88,22.71,0,0,0,0,0,0,0,0,32.2,21.5,88.9,80,4,70,0.91,Charcoal Rot,,
2021,29,16-07-2021 to 22-07-2021,4,Indore,75.88,22.71,0,0,0,0,0,0,0,0,31.1,21.9,84,82.3,2,26.4,1.89,Charcoal Rot,,
2021,30,23-07-2021 to 29-07-2021,5,Indore,75.88,22.71,0,0,0,0,0,0,0,0,28.8,20.7,89.7,83.9,3,77,3.19,Charcoal Rot,,
2021,31,30-07-2021 to 05-08-2021,6,Indore,75.88,22.71,0,0,0,0,0,0,0,0,28.9,20.7,86.9,77.4,0,6.8,4.97,Charcoal Rot,,
2021,32,06-08-2021 to 12-08-2021,7,Indore,75.88,22.71,0,0,0,0,0,0,0,0,32.7,21.7,78.1,68.3,0,0.8,1.4,Charcoal Rot,,
2021,33,13-08-2021 to 19-08-2021,8,Indore,75.88,22.71,0,0,0,0,0,0,0,0,33.4,21.2,84.3,73.7,3,83.2,0.9,Charcoal Rot,,
2021,34,20-08-2021 to 26-08-2021,9,Indore,75.88,22.71,0,0,0,0,0,0,0,0,33.2,21,91.4,74.9,2,10.6,0.75,Charcoal Rot,,
2021,35,27-08-2021 to 02-09-2021,10,Indore,75.88,22.71,0,0,0,0,0,0,0,0,23.5,15.1,63.1,59,3,74.8,0.2,Charcoal Rot,,
2021,36,03-09-2021 to 09-09-2021,11,Indore,75.88,22.71,12.12,23.12,22.12,12.12,0,0,0,12.12,32,20.7,93.7,82.3,6,213.4,,Charcoal Rot,,
2021,37,10-09-2021 to 16-09-2021,12,Indore,75.88,22.71,22.12,55.12,45.56,32.12,0,0,0,28.32,31,21,90.9,83,4,63.2,0.73,Charcoal Rot,,
2021,38,17-09-2021 to 23-09-2021,13,Indore,75.88,22.71,35.12,72.12,65.12,55.12,22.66,65.23,22.66,39.66,31.4,20.7,93.1,77.6,2,12.8,0.94,Charcoal Rot,,
2021,39,24-09-2021 to 30-09-2021,14,Indore,75.88,22.71,-,72.12,72.12,-,25.23,27.32,25.23,47.56,31.7,20.6,95.4,90,4,77.2,0.5,Charcoal Rot,,
2021,40,01-10-2021 to 07-10-2021,15,Indore,75.88,22.71,-,72.12,72.12,-,25.23,29.66,25.23,69.66,33.2,20.6,92,82,3,114.4,,Charcoal Rot,,
2021,27,02-07-2021 to 08-07-2021,1,Amravati,77.78,20.94,0,0,0,0,0,0,0,0,36,23.9,66.4,52.7,0,1.6,2.03,Charcoal Rot,,
2021,28,09-07-2021 to 15-07-2021,2,Amravati,77.78,20.94,0,0,0,0,0,0,0,0,32.2,21.5,88.9,80,4,70,2.54,Charcoal Rot,,
2021,29,16-07-2021 to 22-07-2021,3,Amravati,77.78,20.94,0,0,0,0,0,0,0,0,31.1,21.9,84,82.3,2,26.4,3.58,Charcoal Rot,,
2021,30,23-07-2021 to 29-07-2021,4,Amravati,77.78,20.94,0,0,0,0,0,0,0,0,28.8,20.7,89.7,83.9,3,77,4.53,Charcoal Rot,,
2021,31,30-07-2021 to 05-08-2021,5,Amravati,77.78,20.94,0,0,0,0,0,0,0,0,28.9,20.7,86.9,77.4,0,6.8,3.28,Charcoal Rot,,
2021,32,06-08-2021 to 12-08-2021,6,Amravati,77.78,20.94,0,0,0,0,0,0,0,0,32.7,21.7,78.1,68.3,0,0.8,2.3,Charcoal Rot,,
2021,33,13-08-2021 to 19-08-2021,7,Amravati,77.78,20.94,0,0,0,0,0,0,0,0,33.4,21.2,84.3,73.7,3,83.2,2.32,Charcoal Rot,,
2021,34,20-08-2021 to 26-08-2021,8,Amravati,77.78,20.94,0,0,0,0,0,0,0,0,33.2,20,91.4,74.9,2,10.6,1.93,Charcoal Rot,,
2021,35,27-08-2021 to 02-09-2021,9,Amravati,77.78,20.94,0,0,0,0,0,0,0,0,23.5,15.1,63.1,59,3,74.8,1.92,Charcoal Rot,,
2021,36,03-09-2021 to 09-09-2021,10,Amravati,77.78,20.94,0,0,0,0,0,0,0,0,32,20.7,93.7,82.3,6,213.4,2.23,Charcoal Rot,,
2021,37,10-09-2021 to 16-09-2021,11,Amravati,77.78,20.94,5.88,0,18.55,0,0,0,0,0,31,21,90.9,83,4,63.2,2.56,Charcoal Rot,,
2021,38,17-09-2021 to 23-09-2021,12,Amravati,77.78,20.94,20.33,2.11,23.88,0,0,0,0,0,31.4,20.7,93.1,77.6,2,12.8,1.51,Charcoal Rot,,
2021,39,24-09-2021 to 30-09-2021,13,Amravati,77.78,20.94,40.24,4.33,46.01,0,0,0,0,0,31.7,20.6,95.4,90,4,77.2,2.02,Charcoal Rot,,
2021,27,02-07-2021 to 08-07-2021,1,Sehore,77.1,23.2,NA,0,0,0,0,0,0,0,36.07,24.93,79.89,64.46,0,0,2.42,Target Leaf Spot,,
2021,28,09-07-2021 to 15-07-2021,2,Sehore,77.1,23.2,NA,0,0,0,0,0,0,0,35.89,26.16,79.75,70.8,1,13,2.53,Target Leaf Spot,,
2021,29,16-07-2021 to 22-07-2021,3,Sehore,77.1,23.2,NA,0,0,0,0,0,0,0,35.43,25.16,91.73,75.17,0,0,3.7,Target Leaf Spot,,
2021,30,23-07-2021 to 29-07-2021,4,Sehore,77.1,23.2,NA,0,0,0,0,0,0,0,27.81,22.5,91.39,82.24,7,188.6,4.9,Target Leaf Spot,,
2021,31,30-07-2021 to 05-08-2021,5,Sehore,77.1,23.2,NA,0,0,0,0,0,0,0,27.29,24.14,93.04,85.65,6,89.6,4.01,Target Leaf Spot,,
2021,32,06-08-2021 to 12-08-2021,6,Sehore,77.1,23.2,NA,0,0,0,0,0,0,0,32.26,24.33,90.54,82.85,4,81.5,2.7,Target Leaf Spot,,
2021,33,13-08-2021 to 19-08-2021,7,Sehore,77.1,23.2,NA,0,0,0,0,0,0,0,32.64,26.66,90.74,81.71,2,13.9,2.04,Target Leaf Spot,,
2021,34,20-08-2021 to 26-08-2021,8,Sehore,77.1,23.2,NA,0,0,0,0,0,0,0,29.4,24.5,88.36,80.56,3,53.5,2.2,Target Leaf Spot,,
2021,35,27-08-2021 to 02-09-2021,9,Sehore,77.1,23.2,NA,0,0,0,0,0,0,0,31.67,25.03,90.29,85.25,3,64.5,1.79,Target Leaf Spot,,
2021,36,03-09-2021 to 09-09-2021,10,Sehore,77.1,23.2,NA,0,0,3.66,11.11,11.11,5.56,3.66,34.43,26.09,93.22,86.23,4,68.5,2.35,Target Leaf Spot,,
2021,37,10-09-2021 to 16-09-2021,11,Sehore,77.1,23.2,NA,0,0,17.77,16.66,13.33,8.89,0.33,35.2,25.57,92.04,87.77,4,74.3,2.39,Target Leaf Spot,,
2021,38,17-09-2021 to 23-09-2021,12,Sehore,77.1,23.2,NA,0,0,17.77,7.99,18.44,8,6.11,32.11,24.21,93.77,83.12,4,35.4,1.55,Target Leaf Spot,,
2021,39,24-09-2021 to 30-09-2021,13,Sehore,77.1,23.2,NA,29.99,7.99,16.55,29.99,22.22,18.44,28.33,31.3,25.6,91.4,81.33,0,0,1.93,Target Leaf Spot,,
2021,40,01-10-2021 to 07-10-2021,14,Sehore,77.1,23.2,NA,56.66,51.1,59.8,57.77,67.77,56.66,62.21,33.8,25.6,85.35,75.45,0,0,1.03,Target Leaf Spot,,
2021,29,16-07-2021 to 22-07-2021,1,Pantnagar,79.49,29.02,0,0,0,0,0,0,0,0,30.21,25.27,91.14,74.86,6,24.09,7.09,Rhizoctonia Aerial Blight,,
2021,30,23-07-2021 to 29-07-2021,2,Pantnagar,79.49,29.02,0,0,0,0,0,0,0,0,32.07,26.59,88.29,74,6,7.74,5.2,Rhizoctonia Aerial Blight,,
2021,31,30-07-2021 to 05-08-2021,3,Pantnagar,79.49,29.02,0,0,0,0,0,0,0,0,33.39,26.31,86.43,66.57,3,2.8,6.43,Rhizoctonia Aerial Blight,,
2021,32,06-08-2021 to 12-08-2021,4,Pantnagar,79.49,29.02,0,0,0,0,0,0,0,0,33.73,26.2,85.57,66.29,2,1.74,3.04,Rhizoctonia Aerial Blight,,
2021,33,13-08-2021 to 19-08-2021,5,Pantnagar,79.49,29.02,0,0,0,0,0,0,0,0,33.37,25.64,90.57,69.57,4,13.81,3.54,Rhizoctonia Aerial Blight,,
2021,34,20-08-2021 to 26-08-2021,6,Pantnagar,79.49,29.02,0,0,3.75,0,5.57,3.15,1.34,3.5,31.41,25.39,91.86,79.14,5,8.63,4.61,Rhizoctonia Aerial Blight,,
2021,35,27-08-2021 to 02-09-2021,7,Pantnagar,79.49,29.02,0,3,12.25,3.5,9.54,7.5,3.65,5.4,31.43,25,89.29,75.29,5,16.37,4.49,Rhizoctonia Aerial Blight,,
2021,36,03-09-2021 to 09-09-2021,8,Pantnagar,79.49,29.02,5,7.5,15.75,7.5,12.45,17.5,5.35,8.5,34.36,25.77,86.43,63.29,0,0,3.83,Rhizoctonia Aerial Blight,,
2021,37,10-09-2021 to 16-09-2021,9,Pantnagar,79.49,29.02,8.45,13,17.75,11.75,17.33,20.25,7.5,12.5,33.5,24.66,86.29,65.14,3,3.89,4.36,Rhizoctonia Aerial Blight,,
2021,38,17-09-2021 to 23-09-2021,10,Pantnagar,79.49,29.02,14,22.5,18.5,13.5,24.5,25,10.5,16,32.21,24.84,89.86,65.29,4,1.34,2.94,Rhizoctonia Aerial Blight,,
2021,39,24-09-2021 to 30-09-2021,11,Pantnagar,79.49,29.02,22,38.25,23.5,19.33,31,36,13,22.59,33.39,24.24,84.57,58.57,0,0.34,3.06,Rhizoctonia Aerial Blight,,
2021,40,01-10-2021 to 07-10-2021,12,Pantnagar,79.49,29.02,32.5,47.5,28.5,26.6,38.5,29,22.75,31.75,32.86,23.26,91.29,61.71,0,0,2.34,Rhizoctonia Aerial Blight,,
2021,41,08-10-2021 to 14-10-2021,13,Pantnagar,79.49,29.02,37,55,34.75,35,48.5,38,29.5,39.85,33.23,20.51,86.86,51,0,0,1.86,Rhizoctonia Aerial Blight,,
2021,42,15-10-2021 to 21-10-2021,14,Pantnagar,79.49,29.02,43,60.25,38.01,40,60,43,34.5,45,31.61,20.61,86,67.86,3,60.03,2.44,Rhizoctonia Aerial Blight,,
2021,43,22-10-2021 to 28-10-2021,15,Pantnagar,79.49,29.02,44.68,62.98,39.12,41.9,64.08,45.25,36,46.68,29.71,16.59,87.86,46.14,0,0,2.63,Rhizoctonia Aerial Blight,,
2021,29,16-07-2021 to 22-07-2021,1,Pantnagar,79.49,29.02,0,0,0,0,0,0,0,0,30.21,25.27,91.14,74.86,6,24.09,7.09,Yellow Mosaic Disease,,
2021,30,23-07-2021 to 29-07-2021,2,Pantnagar,79.49,29.02,0,0,0,0,0,0,0,0,32.07,26.59,88.29,74,6,7.74,5.2,Yellow Mosaic Disease,,
2021,31,30-07-2021 to 05-08-2021,3,Pantnagar,79.49,29.02,0,0,0,0,0,0,0,0,33.39,26.31,86.43,66.57,3,2.8,6.43,Yellow Mosaic Disease,,
2021,32,06-08-2021 to 12-08-2021,4,Pantnagar,79.49,29.02,0,0,0,0,0,0,0,0,33.73,26.2,85.57,66.29,2,1.74,3.04,Yellow Mosaic Disease,,
2021,33,13-08-2021 to 19-08-2021,5,Pantnagar,79.49,29.02,1.21,0,1.02,1.76,4.45,2.85,1.14,2.25,33.37,25.64,90.57,69.57,4,13.81,3.54,Yellow Mosaic Disease,,
2021,34,20-08-2021 to 26-08-2021,6,Pantnagar,79.49,29.02,5.8,1,1.24,3.37,9.5,6..9,1.45,3.5,31.41,25.39,91.86,79.14,5,8.63,4.61,Yellow Mosaic Disease,,
2021,35,27-08-2021 to 02-09-2021,7,Pantnagar,79.49,29.02,6.5,1.35,1.85,5.5,12.5,8.5,2.15,3.7,31.43,25,89.29,75.29,5,16.37,4.49,Yellow Mosaic Disease,,
2021,36,03-09-2021 to 09-09-2021,8,Pantnagar,79.49,29.02,7.2,2.5,2.5,8.5,15.5,13.5,3.58,4.8,34.36,25.77,86.43,63.29,0,0,3.83,Yellow Mosaic Disease,,
2021,37,10-09-2021 to 16-09-2021,9,Pantnagar,79.49,29.02,8.5,3.17,2.95,1O.5,18.33,20.75,5.25,5.33,33.5,24.66,86.29,65.14,3,3.89,4.36,Yellow Mosaic Disease,,
2021,38,17-09-2021 to 23-09-2021,10,Pantnagar,79.49,29.02,11.2,4.4,3.5,13.9,22.35,24,7.5,7.12,32.21,24.84,89.86,65.29,4,1.34,2.94,Yellow Mosaic Disease,,
2021,39,24-09-2021 to 30-09-2021,11,Pantnagar,79.49,29.02,13.5,5.21,4.2,17.54,29.5,26.75,10.75,9.5,33.39,24.24,84.57,58.57,0,0.34,3.06,Yellow Mosaic Disease,,
2021,40,01-10-2021 to 07-10-2021,12,Pantnagar,79.49,29.02,15.8,7.29,5.9,20.15,38,30.25,12.5,11.12,32.86,23.26,91.29,61.71,0,0,2.34,Yellow Mosaic Disease,,
2021,41,08-10-2021 to 14-10-2021,13,Pantnagar,79.49,29.02,17.5,9.33,7.5,24.5,49.5,33.33,13.75,13,33.23,20.51,86.86,51,0,0,1.86,Yellow Mosaic Disease,,
2021,42,15-10-2021 to 21-10-2021,14,Pantnagar,79.49,29.02,18.2,10.5,7.98,26,50.5,33.85,14.01,13.85,31.61,20.61,86,67.86,3,60.03,2.44,Yellow Mosaic Disease,,
2021,43,22-10-2021 to 28-10-2021,15,Pantnagar,79.49,29.02,19.43,11.3,8.17,27.58,52.63,34.17,14.91,14.25,29.71,16.59,87.86,46.14,0,0,2.63,Yellow Mosaic Disease,,
2021,27,02-07-2021 to 08-07-2021,1,Palampur,76.54,32.11,0,0,0,0,0,NA,0,0,31.07,19.39,74.71,52.71,3,62.2,5.77,Frog Eye Leaf Spot,,
2021,28,09-07-2021 to 15-07-2021,2,Palampur,76.54,32.11,0,0,0,0,0,NA,0,0,27.79,18.77,93,75.86,7,559,5.2,Frog Eye Leaf Spot,,
2021,29,16-07-2021 to 22-07-2021,3,Palampur,76.54,32.11,0,0,0,0,0,NA,0,0,26.21,20.21,96.14,88.14,6,281.8,3.91,Frog Eye Leaf Spot,,
2021,30,23-07-2021 to 29-07-2021,4,Palampur,76.54,32.11,0,0,0,0,0,NA,0,0,25.91,20.77,97.57,91,7,174.4,3.24,Frog Eye Leaf Spot,,
2021,31,30-07-2021 to 05-08-2021,5,Palampur,76.54,32.11,0,0,0,0,0,NA,0,0,27.46,19.96,94.43,83.14,6,89.2,3.33,Frog Eye Leaf Spot,,
2021,32,06-08-2021 to 12-08-2021,6,Palampur,76.54,32.11,0,0,0,0,0,NA,0,0,27.07,19.34,90.57,85.43,6,85.6,3.26,Frog Eye Leaf Spot,,
